Date,Open,High,Low,Close
2022-06-03,30340,30637.8,29314.5,29531.9
2022-06-06,29937,31723.6,29848.2,31478.5
2022-06-07,31462.1,31535.9,29195.8,31385.5
2022-06-08,31383.3,31466.1,29878.5,30386.4
2022-06-09,30404.4,30649.7,29947.2,30120.7
2022-06-10,30114,30321.4,28876.6,28945.4
2022-06-13,27335.6,27396.2,22608.5,23015.7
2022-06-14,23031.7,23079,20824.5,21474.9
2022-06-15,21463.2,22395,20098.6,22192.8
2022-06-16,22157.8,22518.6,20739.1,20985.9
2022-06-17,20985.9,21282.3,20235.7,20512.6
2022-06-20,20369.1,21005,19628.4,20388
2022-06-21,20414.5,21678.5,20245.2,20964.9
2022-06-22,20949.8,20979,19756.5,19983
2022-06-23,19986.7,21098.1,19870.8,20673.8
2022-06-24,20667.9,21430.7,20662.9,21230.9
2022-06-27,21368.8,21505.6,20505.4,20784
